"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000457"	515.130275544636	-0.433416477262993	0.0813997284861475	-5.32454450799245	1.01206320134024e-07	5.36444611013425e-07
"ENSG00000000971"	4005.69667568637	-0.748981595016389	0.172254530925827	-4.34810968971784	1.37315927349231e-05	5.18441399092559e-05
"ENSG00000001167"	1475.61638914575	0.441315546379323	0.074181830436452	5.94910564733741	2.69611583036102e-09	1.77901713154579e-08
"ENSG00000001461"	2181.34745572539	-0.375792598174965	0.0871290854890168	-4.31305569277823	1.61013537498833e-05	6.01196600411101e-05
"ENSG00000001617"	5831.21279864712	-0.46614177524735	0.105943197003487	-4.39992173572041	1.08289926968068e-05	4.16783495214584e-05
"ENSG00000001629"	2976.00015276713	0.233128465993361	0.1012994266585	2.3013799157944	0.0213701661440658	0.0413599726289182
"ENSG00000001631"	245.076574911008	0.228671061793123	0.0893326606112307	2.55976996798834	0.0104741467551294	0.0219817632342954
"ENSG00000002587"	896.133941867356	-2.01625465764403	0.195639483412635	-10.3059700550907	6.62201795897212e-25	2.269421124134e-23
"ENSG00000002822"	80.1029955236633	2.48114201534459	0.229333633233194	10.8189190585128	2.80060869770138e-27	1.21933488507673e-25
"ENSG00000003137"	1526.69284778825	0.955953848889982	0.225975069769371	4.23035094032993	2.33327013585724e-05	8.47401386832918e-05
"ENSG00000003402"	4736.59819950063	-0.441885267459381	0.0878647315561993	-5.02915401473396	4.92648571368269e-07	2.35269041728391e-06
"ENSG00000005102"	299.589690969261	-0.625734274294608	0.222388323050208	-2.81370112293772	0.0048974739121113	0.0111393893225616
"ENSG00000005187"	71.7089561487703	-2.07454866907007	0.203677375015979	-10.1854644822839	2.30257638324292e-24	7.55794639836302e-23
"ENSG00000005249"	291.025042950975	-1.28069929371404	0.207556688343595	-6.1703590664057	6.81350835814777e-10	4.86186306729811e-09
"ENSG00000005700"	2455.54087249138	-0.734570279309189	0.0730656429745418	-10.0535662098414	8.86017500536994e-24	2.7201896796702e-22
"ENSG00000005812"	1897.84303123865	-0.421622151833812	0.0826951784855279	-5.0985094845354	3.42338382993963e-07	1.67334196006646e-06
"ENSG00000006042"	1219.57737137159	-0.556518428096006	0.175727833245925	-3.16693387619011	0.00154055343613835	0.0039283127612937
"ENSG00000006118"	6555.11411941119	1.56489954846395	0.129447707872405	12.0890479575463	1.20676992446955e-33	9.16708406814671e-32
"ENSG00000006125"	9482.96479892554	0.369137560204442	0.102529172995153	3.60031734794051	0.000317829030450582	0.000939053160720082
"ENSG00000006451"	5459.11968950895	-0.255383238440468	0.0774025113787521	-3.29941798904698	0.000968855319408707	0.00258506181797944
"ENSG00000006468"	451.594661515767	-1.58674087535659	0.224011541690281	-7.08329965225818	1.40761843630598e-12	1.39263782828874e-11
"ENSG00000006695"	1054.15818611549	-0.396461198031087	0.0683087881929133	-5.8039559552927	6.47682971260881e-09	4.05689407520892e-08
"ENSG00000006757"	932.212044488261	-0.604155008384432	0.106799383090074	-5.65691477707219	1.54118240544593e-08	9.16687479665757e-08
"ENSG00000006837"	14.2493016308001	0.379578549439719	0.142999206689883	2.65441017629487	0.00794471882544378	0.0171870535111214
"ENSG00000007062"	448.762309773939	-3.89109096730746	0.437890167288719	-8.88599758108271	6.33497360304717e-19	1.2070954718735e-17
"ENSG00000007237"	1677.63061355136	-1.75480022372676	0.187136431920309	-9.37711703552213	6.7801226141059e-21	1.56843428058676e-19
"ENSG00000008130"	2971.29207740995	0.170220383974387	0.0660726448857269	2.57626108760721	0.00998751996878	0.0210780697399013
"ENSG00000008394"	2434.11343839259	-1.11104498588215	0.357037749395813	-3.11184178077048	0.00185924116273478	0.00465026006967862
"ENSG00000008405"	878.366507285974	-0.312345399983467	0.0922019139470851	-3.38762382050684	0.000705008867198672	0.00193746269520054
"ENSG00000008441"	4568.27117254446	-1.88848604859086	0.126332515442431	-14.9485351572172	1.59212914713444e-50	5.87923171452487e-48
"ENSG00000008513"	2893.06045090854	-0.599644347543325	0.160697326011355	-3.73151416035979	0.000190332309128547	0.000585320329362688
"ENSG00000008710"	2331.96041353319	-0.377661751646209	0.11948123691439	-3.16084568087297	0.00157311818170352	0.00400213869638417
"ENSG00000008838"	4303.60192852867	-0.177427273820615	0.0652554140158678	-2.71896633400366	0.00654862729489279	0.0144602073610331
"ENSG00000009307"	28256.50297335	-0.677618170882751	0.0771270154243517	-8.78574345389233	1.55333742001866e-18	2.84429061743636e-17
"ENSG00000009413"	1196.22924904019	-0.256574978535154	0.110534040269986	-2.3212304364199	0.0202744103345838	0.0394960804295397
"ENSG00000009954"	5996.81064403833	0.38011891493614	0.0787010952280328	4.82990629081797	1.3659732138937e-06	6.06101220997936e-06
"ENSG00000010030"	845.24244573678	0.947857579578312	0.201436254274982	4.7054964509238	2.53248911378826e-06	1.08320676047823e-05
"ENSG00000010165"	2134.58365067469	0.134682956174115	0.0574053719712417	2.3461733902114	0.0189672815588928	0.0372664378682728
"ENSG00000010292"	8031.5599425884	1.11310802962424	0.116336131207342	9.56803374903696	1.08958077414143e-21	2.7158481783459e-20
"ENSG00000010361"	314.896599389738	-0.641417049253827	0.169238123263566	-3.79002695660305	0.000150630936993482	0.000472570201245835
"ENSG00000010803"	1073.06125446415	-0.484448316634342	0.0939061525937278	-5.15885597752303	2.48463339003816e-07	1.23939542499202e-06
"ENSG00000010810"	1430.40595095011	0.405065584540101	0.135551490080329	2.9882783604965	0.00280553904739101	0.00675788687114227
