"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Ensembl"
672.030289545046	1.02873693024635	0.345819119117571	2.97478327072079	0.00293195613878638	0.0290328812320714	"ENSG00000187608"
583.006326539166	-0.652018335988107	0.236334011192455	-2.75888490487789	0.00579989581584622	0.0469854194972323	"ENSG00000197530"
21.8839551008984	-1.79304844355477	0.485140522352252	-3.69593625133807	0.000219077943355078	0.0043118874363526	"ENSG00000177133"
286.485189432265	-2.52396707955338	0.820233740999376	-3.07713149727073	0.00209003078944775	0.0228600323951379	"ENSG00000235169"
307.509202940419	2.17695107130986	0.532437160228834	4.08865352368389	4.33884348387541e-05	0.00117175070085751	"ENSG00000171729"
305.564363739668	2.44007074670852	0.710040358080812	3.43652402140049	0.000589230100271207	0.00907887042464903	"ENSG00000117122"
230.471846591419	0.740368519481289	0.173816360670558	4.25948694717262	2.04896663148023e-05	0.000632284993758719	"ENSG00000162542"
47.7694187562753	-2.2454464232393	0.700550155396575	-3.20526147334615	0.00134939837342279	0.016702553199922	"ENSG00000127472"
1299.88093294967	0.581087978777413	0.17743792842773	3.27488031407044	0.00105706747882755	0.0138782931221436	"ENSG00000183726"
62.7758639814843	-2.74914228448401	0.890047960248531	-3.08875746843614	0.00200995448638743	0.0222573488850457	"ENSG00000158008"
94.6661479744769	1.5260529606321	0.413877974940704	3.6872050532545	0.000226730652288412	0.00443119204647878	"ENSG00000233621"
478.193123790253	0.602748987589746	0.194842666899206	3.0935164108668	0.00197799613056813	0.0220513068895213	"ENSG00000084073"
541.641953943407	-3.1843684507951	0.738486187600868	-4.31202167929533	1.61768567842382e-05	0.000517845357978198	"ENSG00000179862"
297.846771259062	-0.903845753810667	0.200461219980108	-4.50883095443775	6.51858213031739e-06	0.000247417393293818	"ENSG00000010803"
140.904741620645	1.4624524231164	0.41125241539278	3.5560944285753	0.000376408833091734	0.00657240501668012	"ENSG00000127124"
4692.777443852	1.812082568504	0.329712812891768	5.49594221896021	3.88629751910001e-08	3.09238245448387e-06	"ENSG00000117450"
13.7201451329004	-2.02984438505357	0.569686971781423	-3.56308724896095	0.000366518793006267	0.00643315480007898	"ENSG00000224805"
1088.39948993601	0.663905099007868	0.233220199646437	2.84668780840747	0.00441766622946856	0.0386893095882703	"ENSG00000117862"
434.270452723039	0.533454070582862	0.166702216602094	3.20004185580913	0.0013740763133152	0.0169344414045288	"ENSG00000058799"
1261.28015977574	-1.11816598491848	0.395068914516446	-2.83030616642437	0.00465034796455107	0.0401836082508837	"ENSG00000157216"
632.206253374806	-1.58010995451797	0.390574258039642	-4.04560700556357	5.21877202564659e-05	0.00135993264013341	"ENSG00000162599"
71.0466297938595	-0.949210782563166	0.282888677344351	-3.3554216148698	0.000792441101865734	0.0111814995247426	"ENSG00000132849"
9.9186857729546	-2.75760278576997	0.795279523953569	-3.46746358068056	0.000525394931787181	0.00838524289413925	"ENSG00000137975"
2668.00903926425	2.2629008038206	0.318449599422995	7.10599356356798	1.19459981539443e-12	3.36907390974531e-10	"ENSG00000162645"
1335.44904949147	2.93599121259293	0.317005037458058	9.261654755191	2.01288116230031e-20	3.20335659257507e-17	"ENSG00000162654"
284.315071533858	0.997977024836617	0.241171485233342	4.13803905495312	3.50286755856924e-05	0.000984160015194484	"ENSG00000171488"
459.595599406452	1.39716357938792	0.234027517287882	5.97008247397351	2.37133685095986e-09	2.7954171978511e-07	"ENSG00000188641"
274.251392957324	0.589082897943044	0.124263472386144	4.74059582137294	2.13090643899512e-06	9.82952286973318e-05	"ENSG00000156875"
187.945748802144	0.770739867673091	0.230424794193919	3.34486516682948	0.000823225804171165	0.0115137921638001	"ENSG00000162695"
308.276335458129	-0.77879069868699	0.277461327045742	-2.80684413564633	0.00500294422182897	0.0422538276202993	"ENSG00000121957"
92.0586273997961	-1.31362742197089	0.377358523773485	-3.48111236188588	0.000499335972643352	0.00813246013924991	"ENSG00000121933"
21.1707440552303	-1.50925875357229	0.510025985051318	-2.95918011593161	0.00308458756221686	0.0301027642953095	"ENSG00000231246"
210.212046904075	1.4407272355271	0.451886562827486	3.18824978222934	0.00143136831701857	0.017455329011042	"ENSG00000143079"
159.898602732395	0.490439338628549	0.155484565583643	3.15426381253718	0.00160903561465505	0.0190182034453658	"ENSG00000196505"
1028.92005535816	0.883635557916423	0.134126004965927	6.58810018341261	4.45490023272239e-11	9.03676755893739e-09	"ENSG00000265808"
271.237907271996	-0.8147181905034	0.272396559237864	-2.99092687801525	0.00278132084797773	0.028146953456324	"ENSG00000143458"
145.974053028509	-1.12007619629599	0.368936654373075	-3.03595802428281	0.0023977274198619	0.0252463926817218	"ENSG00000143434"
258.46972569578	0.582399318087483	0.156067254167986	3.73172015611043	0.000190176701726437	0.00386600083436589	"ENSG00000143376"
307.487439230339	1.63215953611111	0.344849008033672	4.73296862710342	2.21259698675524e-06	0.000101502304049726	"ENSG00000132718"
955.237414916648	0.971469742387076	0.343677829893891	2.82668725732764	0.00470322364719152	0.0405525630260941	"ENSG00000198715"
517.118262729482	1.06357403139523	0.245919465665395	4.32488753388215	1.52609700498069e-05	0.000492774511173475	"ENSG00000132694"
3108.94316218961	1.4191617934099	0.438178873238739	3.23877274803405	0.00120045180441793	0.0153448457845275	"ENSG00000162734"
344.57340294701	-0.60048331821473	0.198859750958131	-3.01963225500146	0.00253081770329981	0.0262507534588081	"ENSG00000143258"
463.22587426665	3.82340313012648	0.421362043751748	9.07391443254698	1.14816284676637e-19	1.59881676412216e-16	"ENSG00000158859"
