GeneID,Condition
GSM1504002,control
GSM1504003,control
GSM1504004,control
GSM1504005,control
GSM1504006,control
GSM1504007,control
GSM1504008,HD
GSM1504009,HD
GSM1504010,HD
GSM1504011,HD
GSM1504012,HD
GSM1504013,HD
GSM1504014,HD
GSM1504015,HD
GSM1504016,HD
GSM1504017,HD
GSM1504018,HD
GSM1504019,control
GSM1504020,control
