"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000457"	463.081926056555	-0.277089427648899	0.0686704318395862	-4.0350616739411	5.45879570665237e-05	0.00015446476168814
"ENSG00000000971"	863.966443564912	-1.23017632279378	0.186924763132132	-6.581130836711	4.66883500684529e-11	2.81920779010767e-10
"ENSG00000001167"	1102.71589037456	0.418487479557753	0.0665295861720034	6.29024624436727	3.16962777778049e-10	1.76268406700909e-09
"ENSG00000001461"	1438.20770593804	-0.756398475644094	0.0747994186352915	-10.1123576819782	4.86980059538974e-24	8.64499827505854e-23
"ENSG00000001617"	1405.50158676541	1.05416600807387	0.153048244378224	6.88780202841619	5.66609860665558e-12	3.75979328863111e-11
"ENSG00000001631"	209.628591110886	0.561714252785573	0.0954073016135591	5.88753945752243	3.91987605037893e-09	1.9226334628908e-08
"ENSG00000002016"	334.252180219189	-0.265554688704894	0.0861017709777163	-3.08419543163196	0.00204103472097128	0.00436174357442084
"ENSG00000002587"	475.921414859826	0.681699224025889	0.134227653340997	5.07867944539024	3.80067349468152e-07	1.46832754087024e-06
"ENSG00000002822"	17.7322494186189	0.50262210858024	0.228281283411546	2.20176661471678	0.0276817984711689	0.0465441776757594
"ENSG00000002919"	841.980290842579	-0.406129557739727	0.0745047314628855	-5.45105726529651	5.00712423794387e-08	2.15846233013313e-07
"ENSG00000003137"	101.867125418388	-1.31531929727996	0.211996064934833	-6.20445147264544	5.48880064072633e-10	2.96786014088308e-09
"ENSG00000003393"	693.592982806158	0.562202786512476	0.0845345602666233	6.6505673506703	2.91965358095492e-11	1.79900037387849e-10
"ENSG00000003400"	1357.764019832	-0.94353852962533	0.11172023964041	-8.44554695426955	3.02625167529048e-17	3.23775904684228e-16
"ENSG00000003402"	2687.2857162746	-0.461301315479733	0.0820223861590757	-5.62409041094069	1.86487966177888e-08	8.4645600641643e-08
"ENSG00000004866"	732.542437787523	0.767005083769153	0.0681768276388212	11.2502313518091	2.30985396917016e-29	5.85787657390138e-28
"ENSG00000005102"	70.8492327565332	-1.42841919659224	0.207561418229478	-6.88191094846439	5.90549285347189e-12	3.90902486900522e-11
"ENSG00000005187"	545.28463104613	-0.669743089428831	0.179423955271825	-3.73274063886386	0.000189407599650383	0.000488530046859086
"ENSG00000005238"	799.764911352819	-0.934994242030273	0.115994150467534	-8.06070166695147	7.58577550370167e-16	7.24773385777814e-15
"ENSG00000005249"	283.661859136622	-1.83901368285239	0.207478599604566	-8.86363068941749	7.74500132506841e-19	9.27550991562469e-18
"ENSG00000005302"	1044.53821998245	0.403818235199	0.0680706172231761	5.93234278859325	2.98642297284465e-09	1.48659490194522e-08
"ENSG00000005339"	3228.72472531978	-0.264312890522725	0.0828710432969727	-3.18944808713878	0.00142544738605734	0.0031331371313432
"ENSG00000005801"	1075.92610975141	0.862225547533102	0.114931676427453	7.50207057213989	6.28175339939651e-14	5.05186946575628e-13
"ENSG00000005812"	1343.89524723274	-0.616356123158342	0.107027354769724	-5.75886533386225	8.46812242749566e-09	4.00721660023374e-08
"ENSG00000006042"	2890.73500946888	-0.73325510934813	0.117151145372599	-6.25905198806218	3.87324746976694e-10	2.13471508050091e-09
"ENSG00000006118"	1365.43926208842	2.59286739192178	0.152622036575341	16.9888140015864	9.93783032073859e-65	2.09121036280986e-62
"ENSG00000006194"	1179.8978402328	0.646804220870815	0.0607909072096108	10.6398185281327	1.94507799925635e-26	4.0830547314803e-25
"ENSG00000006451"	3226.97445143179	0.14772262597719	0.0670907533267937	2.20183287043514	0.0276771162651475	0.0465381189415682
"ENSG00000006576"	627.53533016893	0.265181663207473	0.106340172762753	2.49371104370028	0.0126415408848391	0.0229661314251502
"ENSG00000006652"	377.724344738155	0.75119888012752	0.146423367950024	5.1303210043899	2.89248492093529e-07	1.13556620421648e-06
"ENSG00000006695"	798.2598011269	-0.501956695902738	0.0721286659153064	-6.95918452854981	3.42247988247643e-12	2.32465654495777e-11
"ENSG00000006837"	12.0671740731645	1.30278830206307	0.173682573852026	7.50097302895234	6.33458250479846e-14	5.09150773415309e-13
"ENSG00000007168"	3181.99377977781	-0.665350482093356	0.0729863430081248	-9.11609562379758	7.78795367852931e-20	1.01191790898915e-18
"ENSG00000007237"	693.02954882075	-1.56856247724168	0.176484983074115	-8.88779572017729	6.23331479636371e-19	7.52522214352003e-18
"ENSG00000007341"	318.924061898134	0.177044018103052	0.0808017931820937	2.19109021137771	0.0284452649455524	0.0476903163319564
"ENSG00000008130"	2749.00298058294	-0.494699501852006	0.0781701437303601	-6.32849676672492	2.47561043495393e-10	1.39361715963777e-09
"ENSG00000008394"	4010.47030261036	-0.623590079941202	0.136122917010851	-4.58108078811955	4.62579091793527e-06	1.54496259382078e-05
"ENSG00000008513"	1025.42513963457	0.647501987179028	0.189280962973372	3.42085108300151	0.000624255041019691	0.00146832682440062
"ENSG00000008710"	1504.8764277659	-0.37458774345776	0.131474661815233	-2.84912498184771	0.00438396550919869	0.00877769803368824
"ENSG00000008838"	3719.74172934262	0.354838515032345	0.116160386535156	3.05472911735666	0.00225263879687206	0.00477820388550262
"ENSG00000009307"	15279.0689379616	-0.45066839113777	0.0633995978887483	-7.10837932960694	1.1741348959136e-12	8.34291404050748e-12
"ENSG00000009335"	4041.0974256889	0.270192598267771	0.0573422131272735	4.7119318130967	2.45379491249158e-06	8.50488550016564e-06
"ENSG00000009954"	3824.23337198002	0.423730526604012	0.0661969449019406	6.40105864752061	1.5430328375827e-10	8.86211563675178e-10
