baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	3460.68441388878	0.318041588570088	0.444542781943879	0.71543527752125	0.474340120488815	0.651830836975297
ENSG00000000005	2.24430086621986	-3.89964149520493	1.74434763588715	-2.23558734221097	0.0253788144953313	0.0971817910947678
ENSG00000000419	2628.57792346194	0.382816220562209	0.270735625747416	1.41398539444291	0.157366190922408	0.329276757868453
ENSG00000000457	748.312001927148	0.40087789447864	0.284013635892434	1.41147411186436	0.158104863765235	0.330365408809381
ENSG00000000460	739.031138110801	2.50990486933628	0.350735238254003	7.15612403769535	8.29900581330843e-13	8.85227286752899e-11
ENSG00000000938	511.772552737136	-1.16661795750498	0.591259891159103	-1.97310518597489	0.0484835795611766	0.153348558049416
ENSG00000000971	3933.3183654219	0.247151160976016	0.864130939588326	0.286011239331113	0.774869513241166	0.86973488897997
ENSG00000001036	2831.10623663077	0.495144121475623	0.412883644655016	1.19923404059596	0.230436954439406	0.41961817923744
ENSG00000001084	3513.52479088847	1.21229066595696	0.820050761623487	1.47831173713801	0.13932435753344	0.305167475234492
ENSG00000001167	1685.98302905355	0.686899363928893	0.291110027105597	2.3595867540479	0.0182953025354194	0.0771042505924638
ENSG00000001460	750.732598573351	0.22832154316444	0.387013647955717	0.589957342255189	0.555219248745055	0.716023273588911
ENSG00000001461	2221.50518297986	0.505412682560099	0.324258803136052	1.55867065958434	0.119074349587503	0.275806956728291
ENSG00000001497	3748.38489790296	0.534356122625854	0.31967290760785	1.67157150296065	0.0946088480318008	0.237872539267133
ENSG00000001561	610.658031774595	-0.282567682099532	1.01762194366041	-0.277674517398013	0.781262223780437	0.873640227391987
ENSG00000001617	8544.44018801591	2.19673448465129	0.478009471102367	4.59558778110664	4.31531073006053e-06	9.33768147570965e-05
ENSG00000001629	2800.78971373081	0.633938609189399	0.297443693420603	2.1312894615418	0.0330653027235377	0.117327356289512
ENSG00000001630	95.1429317835355	1.43279610503075	0.797656756261953	1.79625646467942	0.0724537382729365	0.199938674106412
ENSG00000001631	351.486924077465	-0.0968621203679326	0.252264541203109	-0.383970414177015	0.701000375876903	0.819860216331709
ENSG00000002016	483.627988337495	-0.201711306407518	0.33791912128581	-0.596921848162929	0.550559559655592	0.71240431010831
ENSG00000002079	34.7496048562904	2.11107388473558	1.01676125406105	2.07627294638119	0.0378687139552363	0.128954343643739
ENSG00000002330	630.89588993448	0.0786198346052428	0.448439678887061	0.175318639957021	0.860829266030802	0.921199973423746
ENSG00000002549	6926.55319195935	0.843940587565705	0.526247936556113	1.6036938654594	0.108781548771047	0.25992604416287
ENSG00000002586	11085.1393947171	-1.18829343664648	0.494040801607241	-2.40525364055085	0.0161612445346763	0.0705094675031498
ENSG00000002587	1114.73620093514	-0.0131271838574971	0.786657065724242	-0.0166873017855773	0.986686077459247	0.992771576304382
ENSG00000002726	1537.76994468832	0.0607313626986658	1.54196972449329	0.0393855740057562	0.968582981261672	0.983182760541217
ENSG00000002745	26.1505752197275	1.3876686473815	1.04316507892105	1.33024837144354	0.183436451534241	0.362623409982746
ENSG00000002746	38.5067879853186	1.91050896054572	0.915190353696648	2.08755364698586	0.0368381170089651	0.126650055171318
ENSG00000002822	33.0047280003553	0.731948841754567	0.751866524996897	0.973509017119212	0.330300380861133	0.524997247272451
ENSG00000002834	10335.5261612773	0.477314757751457	0.347021080432269	1.37546329219218	0.168987858502232	0.344644927745697
ENSG00000002919	1495.01223774647	0.309179629027308	0.225154019347448	1.37319169306143	0.169692761453315	0.345722381461054
ENSG00000002933	1741.388410078	-0.686716440454904	0.933920858786606	-0.73530474664322	0.462153918048702	0.641910902775199
ENSG00000003056	3089.1771978795	0.498190415023754	0.422251723042675	1.1798422311551	0.238062969560669	0.428401075837603
ENSG00000003096	565.080498637539	-2.72036910832562	0.836939494919465	-3.25037726722095	0.00115252003637631	0.00943331697260293
ENSG00000003137	453.414234067838	1.1428328572328	0.816549091844309	1.39958866974125	0.161636528811127	0.334291045258644
ENSG00000003147	1008.71011330344	0.14067278444154	0.90720172650289	0.155062297978433	0.876772204475955	0.93113578333516
