,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
IL1RL11,2.36E-58,1.938991095,0.295,0.114,4.27E-54,IL1RL1,iCAF,FALSE,TRUE
SFRP1,8.81E-53,-2.450522983,0.081,0.358,1.59E-48,SFRP1,iCAF,TRUE,FALSE
SPON1,1.85E-51,1.161626346,0.408,0.181,3.34E-47,SPON1,iCAF,TRUE,FALSE
COL9A2,3.88E-50,-1.071136306,0.313,0.609,7.00E-46,COL9A2,iCAF,TRUE,FALSE
IL11,2.15E-47,1.597069047,0.345,0.164,3.88E-43,IL11,iCAF,TRUE,FALSE
TF,2.48E-46,-2.671168156,0.05,0.299,4.48E-42,TF,iCAF,TRUE,FALSE
CXCL3,8.37E-45,1.285573505,0.473,0.269,1.51E-40,CXCL3,iCAF,TRUE,FALSE
TREM1,9.12E-43,1.273890753,0.366,0.183,1.65E-38,TREM1,iCAF,FALSE,TRUE
TNFRSF11A,7.57E-42,-1.202785251,0.236,0.501,1.37E-37,TNFRSF11A,iCAF,FALSE,TRUE
SDK21,8.39E-41,1.018946941,0.424,0.21,1.52E-36,SDK2,iCAF,TRUE,TRUE
MSMB,1.62E-40,-2.584205316,0.063,0.294,2.93E-36,MSMB,iCAF,TRUE,FALSE
RARRES1,3.35E-40,-1.798382145,0.158,0.398,6.05E-36,RARRES1,iCAF,TRUE,FALSE
BMP31,7.18E-40,-2.307429742,0.083,0.309,1.30E-35,BMP3,iCAF,TRUE,FALSE
BMP8A,1.66E-39,1.124820066,0.344,0.158,2.99E-35,BMP8A,iCAF,TRUE,FALSE
IL20RA,3.50E-39,-1.350310498,0.203,0.443,6.33E-35,IL20RA,iCAF,FALSE,TRUE
NTM,1.01E-38,1.150533612,0.331,0.151,1.83E-34,NTM,iCAF,TRUE,TRUE
CACHD1,1.65E-37,-1.281756241,0.184,0.429,2.98E-33,CACHD1,iCAF,FALSE,TRUE
APOC1,2.58E-37,-1.195727815,0.23,0.474,4.66E-33,APOC1,iCAF,TRUE,FALSE
DEFB1,1.45E-36,-1.242206194,0.215,0.456,2.61E-32,DEFB1,iCAF,TRUE,FALSE
C10orf99,1.71E-33,-1.400059023,0.182,0.397,3.09E-29,C10orf99,iCAF,TRUE,FALSE
CLDN3,4.06E-33,-1.297633371,0.154,0.385,7.34E-29,CLDN3,iCAF,TRUE,TRUE
LIPH,5.45E-33,-1.113462061,0.33,0.52,9.85E-29,LIPH,iCAF,TRUE,FALSE
FZD3,6.87E-32,-1.33249471,0.184,0.391,1.24E-27,FZD3,iCAF,FALSE,TRUE
EPHA4,1.18E-29,-1.021929777,0.259,0.459,2.13E-25,EPHA4,iCAF,TRUE,TRUE
CEACAM5,2.75E-28,-1.249433245,0.304,0.502,4.97E-24,CEACAM5,iCAF,TRUE,TRUE
AQP9,2.56E-27,1.09318534,0.31,0.164,4.63E-23,AQP9,iCAF,FALSE,TRUE
LRRN1,4.36E-27,-1.146249961,0.187,0.389,7.89E-23,LRRN1,iCAF,TRUE,FALSE
KLRG2,6.90E-27,-1.147605997,0.164,0.368,1.25E-22,KLRG2,iCAF,FALSE,TRUE
CMTM8,8.37E-26,-1.404569538,0.104,0.287,1.51E-21,CMTM8,iCAF,TRUE,FALSE
PENK,1.86E-24,-1.647778932,0.121,0.29,3.36E-20,PENK,iCAF,TRUE,FALSE
FAM3D,1.87E-24,-1.523424546,0.167,0.337,3.39E-20,FAM3D,iCAF,TRUE,FALSE
FCAR,1.77E-23,1.003667304,0.309,0.171,3.20E-19,FCAR,iCAF,TRUE,TRUE
CCN3,2.74E-20,-1.050607044,0.157,0.327,4.96E-16,CCN3,iCAF,TRUE,FALSE
