,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Ligand,Receptor
FCER2,0,4.115178889,0.632,0.057,0,FCER2,FRC-like,TRUE,FALSE
CR2,0,3.966943648,0.436,0.04,0,CR2,FRC-like,FALSE,TRUE
FCRL1,0,3.732338832,0.749,0.116,0,FCRL1,FRC-like,FALSE,TRUE
CCL14,0,3.714243595,0.567,0.069,0,CCL14,FRC-like,TRUE,FALSE
MUSK,0,3.691963539,0.257,0.026,0,MUSK,FRC-like,FALSE,TRUE
TIMD4,0,3.561854704,0.485,0.068,0,TIMD4,FRC-like,TRUE,TRUE
CNR2,0,3.490823684,0.578,0.076,0,CNR2,FRC-like,FALSE,TRUE
CXCR5,0,3.403898971,0.704,0.116,0,CXCR5,FRC-like,FALSE,TRUE
GFRA1,0,3.398265143,0.707,0.103,0,GFRA1,FRC-like,FALSE,TRUE
CD22,0,3.38051706,0.801,0.16,0,CD22,FRC-like,TRUE,TRUE
RSPO1,0,3.372237796,0.471,0.064,0,RSPO1,FRC-like,TRUE,FALSE
ADRA2A,0,3.198057974,0.836,0.164,0,ADRA2A,FRC-like,FALSE,TRUE
CCL21,0,3.183529101,0.808,0.195,0,CCL21,FRC-like,TRUE,FALSE
CD19,0,3.087068494,0.77,0.172,0,CD19,FRC-like,FALSE,TRUE
F10,0,3.074256602,0.318,0.044,0,F10,FRC-like,TRUE,TRUE
SIGLEC6,0,3.055907751,0.471,0.081,0,SIGLEC6,FRC-like,TRUE,TRUE
FGF7,0,2.990679701,0.73,0.137,0,FGF7,FRC-like,TRUE,FALSE
CADM3,0,2.983081256,0.447,0.086,0,CADM3,FRC-like,TRUE,TRUE
CNR1,0,2.926411281,0.588,0.111,0,CNR1,FRC-like,FALSE,TRUE
TREML2,0,2.926195566,0.385,0.064,0,TREML2,FRC-like,FALSE,TRUE
TNFRSF13B,0,2.829256723,0.835,0.206,0,TNFRSF13B,FRC-like,FALSE,TRUE
DKK2,0,2.805965801,0.381,0.078,0,DKK2,FRC-like,TRUE,FALSE
CR1,0,2.779511421,0.7,0.164,0,CR1,FRC-like,FALSE,TRUE
CNTN3,0,2.747466745,0.318,0.055,0,CNTN3,FRC-like,TRUE,FALSE
LILRA4,0,2.707600332,0.439,0.088,0,LILRA4,FRC-like,FALSE,TRUE
FCRL4,0,2.69497928,0.37,0.074,0,FCRL4,FRC-like,FALSE,TRUE
GDF7,0,2.670666654,0.396,0.078,0,GDF7,FRC-like,TRUE,FALSE
GFRA2,0,2.656823523,0.368,0.069,0,GFRA2,FRC-like,FALSE,TRUE
ANGPTL1,0,2.625057289,0.386,0.077,0,ANGPTL1,FRC-like,TRUE,FALSE
CD40LG,0,2.609627313,0.557,0.12,0,CD40LG,FRC-like,TRUE,TRUE
CD79B,0,2.594080217,0.886,0.335,0,CD79B,FRC-like,TRUE,TRUE
TLR9,0,2.54394678,0.382,0.077,0,TLR9,FRC-like,FALSE,TRUE
NCR3,0,2.510606018,0.437,0.093,0,NCR3,FRC-like,FALSE,TRUE
SELP,0,2.463574647,0.584,0.135,0,SELP,FRC-like,TRUE,TRUE
CD72,0,2.433862323,0.733,0.265,0,CD72,FRC-like,TRUE,TRUE
CCL19,0,2.379320524,0.984,0.407,0,CCL19,FRC-like,TRUE,FALSE
ACKR1,0,2.352857577,0.572,0.146,0,ACKR1,FRC-like,FALSE,TRUE
JAM2,0,2.339222494,0.543,0.135,0,JAM2,FRC-like,TRUE,TRUE
ITGA8,0,2.33419657,0.649,0.164,0,ITGA8,FRC-like,FALSE,TRUE
IL33,0,2.330444614,0.804,0.235,0,IL33,FRC-like,TRUE,FALSE
PLA2G2A,0,2.301330469,0.359,0.083,0,PLA2G2A,FRC-like,TRUE,FALSE
CD180,0,2.297874373,0.723,0.234,0,CD180,FRC-like,FALSE,TRUE
COL9A3,0,2.29585682,0.377,0.095,0,COL9A3,FRC-like,TRUE,FALSE
KLRG1,0,2.273731236,0.602,0.158,0,KLRG1,FRC-like,FALSE,TRUE
FXYD1,0,2.228647923,0.41,0.092,0,FXYD1,FRC-like,FALSE,TRUE
ANGPTL6,0,2.214692703,0.481,0.131,0,ANGPTL6,FRC-like,TRUE,FALSE
CCKAR,0,2.175986737,0.398,0.098,0,CCKAR,FRC-like,FALSE,TRUE
APOD,0,2.150857016,0.799,0.261,0,APOD,FRC-like,TRUE,FALSE
RAMP3,0,2.12479561,0.763,0.266,0,RAMP3,FRC-like,FALSE,TRUE
CD1D,0,2.10233738,0.408,0.115,0,CD1D,FRC-like,TRUE,FALSE
CLDN11,0,2.100853911,0.411,0.116,0,CLDN11,FRC-like,TRUE,TRUE
S1PR1,0,2.089026625,0.745,0.255,0,S1PR1,FRC-like,FALSE,TRUE
TNXB,0,2.08670816,0.874,0.334,0,TNXB,FRC-like,TRUE,FALSE
LY86,0,2.086452783,0.612,0.195,0,LY86,FRC-like,TRUE,FALSE
CCR7,0,2.077146137,0.84,0.362,0,CCR7,FRC-like,FALSE,TRUE
SLAMF6,0,2.068304778,0.811,0.324,0,SLAMF6,FRC-like,TRUE,FALSE
IGF1,0,2.061902501,0.504,0.144,0,IGF1,FRC-like,TRUE,FALSE
LY9,0,2.054296095,0.877,0.357,0,LY9,FRC-like,TRUE,FALSE
FLT3,0,2.050551076,0.549,0.165,0,FLT3,FRC-like,FALSE,TRUE
CXCL12,0,2.04802566,0.973,0.47,0,CXCL12,FRC-like,TRUE,FALSE
TNFRSF13C,0,2.04145004,0.835,0.418,0,TNFRSF13C,FRC-like,FALSE,TRUE
SELL,0,2.022148829,0.964,0.498,0,SELL,FRC-like,TRUE,TRUE
TNFSF8,0,2.014182324,0.413,0.119,0,TNFSF8,FRC-like,TRUE,FALSE
FAT4,0,1.986049813,0.464,0.139,0,FAT4,FRC-like,TRUE,TRUE
PDGFD,0,1.968384335,0.514,0.164,0,PDGFD,FRC-like,TRUE,FALSE
CCR6,0,1.968114688,0.744,0.308,0,CCR6,FRC-like,FALSE,TRUE
RARRES2,0,1.96379672,0.781,0.273,0,RARRES2,FRC-like,TRUE,FALSE
RECK,0,1.963476935,0.53,0.164,0,RECK,FRC-like,TRUE,TRUE
P2RY14,0,1.96239995,0.497,0.155,0,P2RY14,FRC-like,FALSE,TRUE
COL14A1,0,1.956512009,0.894,0.355,0,COL14A1,FRC-like,TRUE,FALSE
LEPR,0,1.928383571,0.7,0.262,0,LEPR,FRC-like,FALSE,TRUE
CD69,0,1.928319387,0.788,0.341,0,CD69,FRC-like,FALSE,TRUE
KCNA3,0,1.923171049,0.77,0.281,0,KCNA3,FRC-like,FALSE,TRUE
CCR2,0,1.910744559,0.486,0.147,0,CCR2,FRC-like,FALSE,TRUE
SIGLEC5,0,1.910213207,0.392,0.126,0,SIGLEC5,FRC-like,TRUE,FALSE
COL4A3,0,1.900816333,0.625,0.211,0,COL4A3,FRC-like,TRUE,FALSE
IL16,0,1.898646273,0.941,0.471,0,IL16,FRC-like,TRUE,FALSE
KLRB1,0,1.889636728,0.657,0.232,0,KLRB1,FRC-like,FALSE,TRUE
EPHA3,0,1.8549152,0.355,0.104,0,EPHA3,FRC-like,FALSE,TRUE
EDNRB,0,1.838860656,0.411,0.134,0,EDNRB,FRC-like,FALSE,TRUE
TNFRSF17,0,1.83850721,0.81,0.317,0,TNFRSF17,FRC-like,FALSE,TRUE
PNOC,0,1.832518398,0.652,0.21,0,PNOC,FRC-like,TRUE,FALSE
JAM3,0,1.815207182,0.686,0.243,0,JAM3,FRC-like,TRUE,TRUE
BMP6,0,1.807334567,0.62,0.227,0,BMP6,FRC-like,TRUE,FALSE
ADGRG5,0,1.789330641,0.653,0.242,0,ADGRG5,FRC-like,FALSE,TRUE
CD37,0,1.753591019,0.994,0.676,0,CD37,FRC-like,FALSE,TRUE
PTGDR,0,1.750422174,0.453,0.153,0,PTGDR,FRC-like,FALSE,TRUE
CD28,0,1.717292458,0.836,0.394,0,CD28,FRC-like,TRUE,TRUE
CCL18,0,1.715104059,0.841,0.428,0,CCL18,FRC-like,TRUE,FALSE
CD5,0,1.711248593,0.756,0.331,0,CD5,FRC-like,FALSE,TRUE
NPR2,0,1.681582431,0.511,0.183,0,NPR2,FRC-like,FALSE,TRUE
CP,0,1.679839512,0.836,0.35,0,CP,FRC-like,TRUE,FALSE
CD52,0,1.674932199,0.968,0.602,0,CD52,FRC-like,TRUE,FALSE
FLT4,0,1.673680521,0.459,0.168,0,FLT4,FRC-like,FALSE,TRUE
CD79A,0,1.661823581,0.989,0.564,0,CD79A,FRC-like,FALSE,TRUE
CD48,0,1.659469874,0.946,0.509,0,CD48,FRC-like,TRUE,FALSE
F13A1,0,1.648576835,0.846,0.406,0,F13A1,FRC-like,TRUE,FALSE
TNFSF14,0,1.645272533,0.534,0.206,0,TNFSF14,FRC-like,TRUE,FALSE
PTPRC,0,1.63473818,0.885,0.484,0,PTPRC,FRC-like,TRUE,TRUE
CFAP54,0,1.633880475,0.577,0.237,0,CFAP54,FRC-like,TRUE,TRUE
CD27,0,1.631964181,0.976,0.545,0,CD27,FRC-like,FALSE,TRUE
CD200R1,0,1.628845295,0.507,0.194,0,CD200R1,FRC-like,FALSE,TRUE
SLAMF1,0,1.610412825,0.837,0.403,0,SLAMF1,FRC-like,FALSE,TRUE
ITGA4,0,1.607945719,0.954,0.523,0,ITGA4,FRC-like,TRUE,TRUE
ITGAL,0,1.594063994,0.934,0.522,0,ITGAL,FRC-like,TRUE,TRUE
DDR2,0,1.591394854,0.709,0.306,0,DDR2,FRC-like,FALSE,TRUE
IL12RB1,0,1.548873798,0.659,0.293,0,IL12RB1,FRC-like,FALSE,TRUE
LILRB1,0,1.543289175,0.686,0.321,0,LILRB1,FRC-like,FALSE,TRUE
ICAM2,0,1.530829823,0.828,0.415,0,ICAM2,FRC-like,TRUE,FALSE
CLMP,0,1.523021393,0.652,0.264,0,CLMP,FRC-like,TRUE,FALSE
ADGRA2,0,1.508433475,0.746,0.349,0,ADGRA2,FRC-like,FALSE,TRUE
CXCR3,0,1.502598801,0.661,0.285,0,CXCR3,FRC-like,FALSE,TRUE
ACVRL1,0,1.500541416,0.639,0.284,0,ACVRL1,FRC-like,FALSE,TRUE
MFNG,0,1.482808936,0.785,0.402,0,MFNG,FRC-like,TRUE,FALSE
CLU,0,1.469223376,0.99,0.684,0,CLU,FRC-like,TRUE,FALSE
HCST,0,1.468277642,0.642,0.294,0,HCST,FRC-like,FALSE,TRUE
CD6,0,1.458233121,0.887,0.497,0,CD6,FRC-like,TRUE,TRUE
SIRPG,0,1.458105961,0.549,0.241,0,SIRPG,FRC-like,TRUE,TRUE
ICAM3,0,1.451928814,0.847,0.468,0,ICAM3,FRC-like,TRUE,TRUE
CCR4,0,1.445569054,0.753,0.362,0,CCR4,FRC-like,FALSE,TRUE
CLDN5,0,1.444500355,0.637,0.308,0,CLDN5,FRC-like,FALSE,TRUE
TLR4,0,1.439664674,0.676,0.328,0,TLR4,FRC-like,FALSE,TRUE
CDH5,0,1.422341024,0.729,0.345,0,CDH5,FRC-like,TRUE,TRUE
CXCL14,0,1.407987586,0.981,0.546,0,CXCL14,FRC-like,TRUE,FALSE
PLXDC1,0,1.406328946,0.795,0.385,0,PLXDC1,FRC-like,FALSE,TRUE
CLEC10A,0,1.40412406,0.694,0.316,0,CLEC10A,FRC-like,FALSE,TRUE
CD247,0,1.399995093,0.817,0.425,0,CD247,FRC-like,FALSE,TRUE
LTB,0,1.387318867,0.989,0.717,0,LTB,FRC-like,TRUE,FALSE
ADORA2A,0,1.386382751,0.656,0.313,0,ADORA2A,FRC-like,FALSE,TRUE
CD96,0,1.382714066,0.945,0.553,0,CD96,FRC-like,TRUE,TRUE
ST6GAL1,0,1.378566225,0.988,0.691,0,ST6GAL1,FRC-like,TRUE,FALSE
MILR1,0,1.377130408,0.586,0.277,0,MILR1,FRC-like,FALSE,TRUE
SLAMF7,0,1.372819526,0.869,0.47,0,SLAMF7,FRC-like,TRUE,TRUE
TSPAN33,0,1.369220938,0.819,0.483,0,TSPAN33,FRC-like,TRUE,TRUE
IL2RA,0,1.356487329,0.681,0.357,0,IL2RA,FRC-like,FALSE,TRUE
KLRK1,0,1.336032843,0.777,0.399,0,KLRK1,FRC-like,FALSE,TRUE
SLC40A1,0,1.335804265,0.938,0.609,0,SLC40A1,FRC-like,FALSE,TRUE
IL10RA,0,1.330587554,0.937,0.573,0,IL10RA,FRC-like,FALSE,TRUE
CD209,0,1.32279623,0.633,0.332,0,CD209,FRC-like,TRUE,TRUE
TRPV2,0,1.319953562,0.751,0.39,0,TRPV2,FRC-like,FALSE,TRUE
SPN,0,1.29437231,0.855,0.491,0,SPN,FRC-like,TRUE,TRUE
FGFR1,0,1.287286881,0.884,0.477,0,FGFR1,FRC-like,FALSE,TRUE
CD34,0,1.273191965,0.697,0.348,0,CD34,FRC-like,TRUE,FALSE
LPAR1,0,1.266032403,0.849,0.526,0,LPAR1,FRC-like,FALSE,TRUE
DCN,0,1.263200283,0.997,0.686,0,DCN,FRC-like,TRUE,FALSE
TNFSF13B,0,1.262067665,0.776,0.424,0,TNFSF13B,FRC-like,TRUE,FALSE
ITGB7,0,1.25838652,0.849,0.532,0,ITGB7,FRC-like,FALSE,TRUE
SELPLG,0,1.247372595,0.827,0.467,0,SELPLG,FRC-like,TRUE,TRUE
TFPI,0,1.242838551,0.798,0.424,0,TFPI,FRC-like,TRUE,FALSE
TIGIT,0,1.233312877,0.888,0.544,0,TIGIT,FRC-like,TRUE,TRUE
CMKLR1,0,1.218076975,0.675,0.368,0,CMKLR1,FRC-like,FALSE,TRUE
PDGFRA,0,1.217141361,0.707,0.373,0,PDGFRA,FRC-like,FALSE,TRUE
MRC1,0,1.195832582,0.695,0.376,0,MRC1,FRC-like,FALSE,TRUE
CD53,0,1.191290687,0.997,0.808,0,CD53,FRC-like,FALSE,TRUE
C3,0,1.189565761,0.999,0.799,0,C3,FRC-like,TRUE,FALSE
TGFBR2,0,1.184473194,0.998,0.833,0,TGFBR2,FRC-like,FALSE,TRUE
CXCL13,0,1.182172085,0.887,0.59,0,CXCL13,FRC-like,TRUE,FALSE
TLR6,0,1.174565719,0.786,0.443,0,TLR6,FRC-like,FALSE,TRUE
AQP1,0,1.162722935,0.94,0.614,0,AQP1,FRC-like,FALSE,TRUE
AMIGO2,0,1.161507141,0.681,0.379,0,AMIGO2,FRC-like,FALSE,TRUE
CXCR4,0,1.160513691,0.997,0.745,0,CXCR4,FRC-like,FALSE,TRUE
ORAI2,0,1.15909193,0.853,0.587,0,ORAI2,FRC-like,FALSE,TRUE
JAML,0,1.151815843,0.858,0.506,0,JAML,FRC-like,TRUE,TRUE
LAT,0,1.150397434,0.939,0.651,0,LAT,FRC-like,FALSE,TRUE
CD3D,0,1.137895519,0.936,0.634,0,CD3D,FRC-like,FALSE,TRUE
EFEMP1,0,1.131102074,0.882,0.56,0,EFEMP1,FRC-like,TRUE,FALSE
LSAMP,0,1.129411402,0.712,0.327,0,LSAMP,FRC-like,TRUE,FALSE
TNFSF12,0,1.128826355,0.859,0.541,0,TNFSF12,FRC-like,TRUE,FALSE
LFNG,0,1.108748422,0.888,0.579,0,LFNG,FRC-like,TRUE,FALSE
CLEC2D,0,1.095046874,0.993,0.821,0,CLEC2D,FRC-like,TRUE,TRUE
PECAM1,0,1.077797844,0.996,0.752,0,PECAM1,FRC-like,TRUE,TRUE
CDH11,0,1.068108999,0.868,0.473,0,CDH11,FRC-like,FALSE,TRUE
IL2RB,0,1.066316076,0.928,0.623,0,IL2RB,FRC-like,FALSE,TRUE
ADAM28,0,1.063499826,0.979,0.71,0,ADAM28,FRC-like,TRUE,FALSE
CD2,0,1.058583223,0.97,0.703,0,CD2,FRC-like,TRUE,TRUE
BOC,0,1.049932095,0.719,0.362,0,BOC,FRC-like,TRUE,TRUE
LUM,0,1.044097857,0.998,0.717,0,LUM,FRC-like,TRUE,FALSE
LAIR1,0,1.040956595,0.853,0.528,0,LAIR1,FRC-like,FALSE,TRUE
IL21R,0,1.033184721,0.777,0.486,0,IL21R,FRC-like,FALSE,TRUE
CD38,0,1.016508815,0.911,0.672,0,CD38,FRC-like,TRUE,TRUE
BTN2A2,0,1.002481206,0.837,0.55,0,BTN2A2,FRC-like,FALSE,TRUE
CCL13,1.86E-299,1.821900672,0.38,0.125,3.37E-295,CCL13,FRC-like,TRUE,FALSE
FCRL6,8.00E-297,2.089150478,0.299,0.081,1.45E-292,FCRL6,FRC-like,TRUE,FALSE
ITGA9,2.78E-288,1.321519466,0.562,0.271,5.03E-284,ITGA9,FRC-like,TRUE,TRUE
CEACAM21,5.81E-287,1.865878319,0.336,0.102,1.05E-282,CEACAM21,FRC-like,TRUE,FALSE
SIGLEC10,5.57E-285,1.260022172,0.602,0.318,1.01E-280,SIGLEC10,FRC-like,FALSE,TRUE
SCUBE2,8.60E-283,1.513813753,0.471,0.19,1.55E-278,SCUBE2,FRC-like,TRUE,FALSE
CACNA1C,3.20E-282,1.57602048,0.406,0.143,5.78E-278,CACNA1C,FRC-like,FALSE,TRUE
ICOS,4.56E-279,1.192754824,0.623,0.336,8.24E-275,ICOS,FRC-like,FALSE,TRUE
IGDCC4,6.70E-275,1.950589911,0.308,0.09,1.21E-270,IGDCC4,FRC-like,FALSE,TRUE
LIN7A,1.53E-273,1.68688259,0.39,0.14,2.77E-269,LIN7A,FRC-like,TRUE,FALSE
IL3RA,4.70E-269,1.13662911,0.657,0.38,8.49E-265,IL3RA,FRC-like,FALSE,TRUE
PTPRT,1.58E-268,2.310042642,0.259,0.067,2.86E-264,PTPRT,FRC-like,FALSE,TRUE
P2RX7,5.10E-268,1.279357159,0.536,0.247,9.22E-264,P2RX7,FRC-like,FALSE,TRUE
CD226,2.10E-266,1.285248284,0.543,0.261,3.79E-262,CD226,FRC-like,TRUE,TRUE
IL7,4.17E-266,1.024678236,0.682,0.44,7.53E-262,IL7,FRC-like,TRUE,FALSE
CLEC14A,1.65E-263,1.218223286,0.553,0.26,2.99E-259,CLEC14A,FRC-like,FALSE,TRUE
SLIT3,5.21E-257,1.147355569,0.591,0.296,9.42E-253,SLIT3,FRC-like,TRUE,FALSE
CFP,2.96E-255,1.441520484,0.471,0.206,5.34E-251,CFP,FRC-like,TRUE,FALSE
COL19A1,4.18E-255,1.235604796,0.547,0.263,7.55E-251,COL19A1,FRC-like,TRUE,FALSE
BMP4,4.42E-252,1.824073229,0.321,0.104,7.99E-248,BMP4,FRC-like,TRUE,FALSE
PDCD1,1.06E-246,1.3347446,0.503,0.234,1.92E-242,PDCD1,FRC-like,FALSE,TRUE
CRTAM,1.28E-240,1.684861128,0.335,0.114,2.32E-236,CRTAM,FRC-like,TRUE,FALSE
PI16,1.26E-232,1.783079861,0.323,0.11,2.28E-228,PI16,FRC-like,TRUE,FALSE
NFASC,1.35E-232,1.462799205,0.444,0.2,2.44E-228,NFASC,FRC-like,TRUE,TRUE
EBI3,4.51E-232,1.619631739,0.372,0.143,8.15E-228,EBI3,FRC-like,TRUE,FALSE
PTPRB,7.26E-231,1.309936217,0.473,0.216,1.31E-226,PTPRB,FRC-like,FALSE,TRUE
SIGLEC8,1.39E-227,1.860567197,0.28,0.086,2.52E-223,SIGLEC8,FRC-like,TRUE,TRUE
CTLA4,1.32E-225,1.059802803,0.601,0.336,2.39E-221,CTLA4,FRC-like,FALSE,TRUE
LAMA2,1.72E-224,1.134464014,0.549,0.273,3.10E-220,LAMA2,FRC-like,TRUE,FALSE
KLRD1,5.06E-222,1.148035892,0.554,0.304,9.15E-218,KLRD1,FRC-like,FALSE,TRUE
CCR5,7.75E-222,1.050323735,0.583,0.312,1.40E-217,CCR5,FRC-like,FALSE,TRUE
ROR1,1.10E-216,1.271298924,0.435,0.188,1.99E-212,ROR1,FRC-like,FALSE,TRUE
LILRB5,2.31E-216,1.387004392,0.431,0.189,4.18E-212,LILRB5,FRC-like,FALSE,TRUE
PLXNA4,4.26E-210,1.78884719,0.283,0.093,7.69E-206,PLXNA4,FRC-like,FALSE,TRUE
LILRB4,1.91E-205,1.074077107,0.584,0.334,3.46E-201,LILRB4,FRC-like,TRUE,FALSE
PDCD1LG2,4.22E-205,1.12771972,0.5,0.245,7.62E-201,PDCD1LG2,FRC-like,TRUE,FALSE
PTPRO,2.55E-200,1.305548516,0.448,0.217,4.60E-196,PTPRO,FRC-like,FALSE,TRUE
ADGRL4,5.73E-200,1.070148827,0.529,0.272,1.04E-195,ADGRL4,FRC-like,FALSE,TRUE
LTA,8.99E-200,1.639016447,0.306,0.11,1.62E-195,LTA,FRC-like,TRUE,FALSE
NAALADL1,3.08E-192,1.380642142,0.372,0.156,5.57E-188,NAALADL1,FRC-like,TRUE,FALSE
DCHS1,1.12E-191,1.213156311,0.457,0.222,2.03E-187,DCHS1,FRC-like,TRUE,TRUE
GPR15,1.21E-190,1.146897892,0.513,0.278,2.18E-186,GPR15,FRC-like,FALSE,TRUE
FZD4,5.32E-190,1.20140951,0.469,0.237,9.62E-186,FZD4,FRC-like,FALSE,TRUE
BMP3,1.90E-185,1.025378261,0.526,0.271,3.43E-181,BMP3,FRC-like,TRUE,FALSE
APLNR,4.15E-167,1.311258093,0.362,0.159,7.51E-163,APLNR,FRC-like,FALSE,TRUE
SEMA3A,4.30E-164,1.495170206,0.293,0.114,7.77E-160,SEMA3A,FRC-like,TRUE,FALSE
ADCY5,3.93E-154,1.314018073,0.356,0.163,7.10E-150,ADCY5,FRC-like,FALSE,TRUE
KLRC3,3.88E-153,1.272365228,0.342,0.151,7.01E-149,KLRC3,FRC-like,FALSE,TRUE
ITGA7,7.59E-153,1.272409335,0.354,0.162,1.37E-148,ITGA7,FRC-like,FALSE,TRUE
GIPR,3.38E-151,1.159955457,0.397,0.194,6.10E-147,GIPR,FRC-like,FALSE,TRUE
XCR1,1.94E-150,1.358065816,0.31,0.13,3.51E-146,XCR1,FRC-like,FALSE,TRUE
IL1RL1,3.64E-150,1.395685986,0.264,0.098,6.59E-146,IL1RL1,FRC-like,FALSE,TRUE
TIE1,3.71E-150,1.049965686,0.468,0.256,6.71E-146,TIE1,FRC-like,FALSE,TRUE
SDK2,1.74E-149,1.145713845,0.394,0.191,3.15E-145,SDK2,FRC-like,TRUE,TRUE
GPR25,2.72E-147,1.125719957,0.41,0.207,4.91E-143,GPR25,FRC-like,FALSE,TRUE
GPC3,1.11E-136,1.117387564,0.395,0.199,2.01E-132,GPC3,FRC-like,TRUE,FALSE
ADGRB1,1.43E-136,1.451020814,0.252,0.098,2.59E-132,ADGRB1,FRC-like,TRUE,FALSE
ROBO4,1.16E-135,1.116675658,0.371,0.181,2.09E-131,ROBO4,FRC-like,FALSE,TRUE
PDE1B,1.09E-132,1.449029569,0.256,0.102,1.97E-128,PDE1B,FRC-like,FALSE,TRUE
WNT6,1.46E-130,1.286802833,0.293,0.128,2.64E-126,WNT6,FRC-like,TRUE,FALSE
SIGLEC14,3.07E-130,1.349891336,0.299,0.134,5.55E-126,SIGLEC14,FRC-like,TRUE,TRUE
PEAR1,2.99E-129,1.224176501,0.333,0.159,5.41E-125,PEAR1,FRC-like,FALSE,TRUE
SELE,2.26E-125,1.376615192,0.282,0.124,4.08E-121,SELE,FRC-like,TRUE,TRUE
LTK,2.83E-124,1.145852615,0.271,0.113,5.12E-120,LTK,FRC-like,FALSE,TRUE
F5,3.92E-119,1.060712568,0.375,0.197,7.08E-115,F5,FRC-like,TRUE,TRUE
MMP25,1.25E-104,1.02344843,0.358,0.191,2.26E-100,MMP25,FRC-like,TRUE,FALSE
